,width,steepest_mse,steepest_iter,steepest_time,BFGS_mse,BFGS_iter,BFGS_time,conjugate_mse,conjugate_iter,conjugate_time
0,3,466.9393536902096,501,1.597821723902598,89.36782122894473,162,0.5236426460323855,164.5201456780836,151,0.7744979719864205
1,5,398.7749288748107,501,1.6355867140227929,86.24054772015049,498,2.5730999369407073,1214.828885318143,85,1.4941523669986054
2,10,214.40837981695233,501,1.4353468799963593,86.2587415194736,351,6.217123650945723,88.53665467953898,121,3.868612997001037
3,12,134.4159391890739,501,1.5926187849836424,88.95619912032625,494,13.565546408994123,87.71475889015947,301,14.284336859011091
4,20,185.94461342588278,501,1.9235407910309732,88.99304220188505,249,19.37512218405027,89.1482901620305,500,50.76696182391606
