,optimizer,MSE,number of iterations,elapsed time
0,Steepest Descent,500.77266345918486,4,6.052717888960615
1,BFGS,291.6327355684699,3,172.99655334302224
2,Conjugate Gradient,271.4967230549377,3,145.27116170001682
